OBJECTID_1 *,Shape *,StateStructureId,BridgeNumber,BridgeName,FacilitiesCarried,FeaturesIntersected,Owner,Custodian,CityName,CountyName,RegionName,Latitude,Longitude,ParallelStructure,HistoricSignificanceNRHP,HistoricalSignificanceHAER,HistoricSignificanceLocal,YearBuilt,YearRebuilt,StructureLengthByFeet,MaximumSpanLengthFeet,ScreeningLengthBy10th,LanesOn,CurbToCurbWidthFeetAnd10th,OutToOutWidthFeetAnd10th,SidewalkCurbWidthLeftBy10th,SidewalkCurbWidthRightBy10th,MinVertClrncOverDeck,MinVertClrncUnderBridge,MainSpanDesign,MainSpanMaterial,ApproachSpanDesign,ApproachSpanMaterial,SpanType,NumberOfSpans,ServiceOn,ServiceUnder,DesignLoadCode,OpenClosedPosted,OnUnderCode,FederalHighwayClass,ServiceLevel,RouteIdentifier,StateRouteMilepost,AheadBackIndicator,InventoryDirection,Detour,BaseHighwayNetwork,NationalTruckNetwork,STRAHNET,FederalLandsHighway,DeckCondition,SuperstructureCondition,SubstructureCondition,BridgeOverallConditionState,CulvertCondition,ScourCondition,NumberOfUtilites,InspectionFrequency,InspectionDate,InspectionDueDate,PrpsedImprvTypeOfWork,PrpsedImprvWorkMethod,PrpsedImprvStructureLgthByFT,PrpsedImprvRoadwayWdthByFT,PrpsedImprvCostPerSFDeck,PrpsedImprvStructureCost,PrpsedImprvRoadwayCost,PrpsedImprvEngMiscCost,PrpsedImprvTotalCost,PrpsedImprvEstimateYear,TunnelPortalShape,TunnelShape,TunnelLengthByFeet,TunnelGroundConditions,TunnelNumberOfBores,TunnelServiceLevel,TunnelOtherRestriction,TunnelHazardousMatRest,TunnelHeightRestrictionFlag,TunnelMinVertClrncOverRdBy10,TunnelComplexCode,updated_date,Structure ID,ObjectID,Min Need Year
847,Point,0008100C,  5/339,CARPENTER RD OVER I-5,CARPENTER RD,I-5,Washington State,Washington State,LACEY,Thurston County,OL,47.057919,-122.796806,N,5,<Null>,<Null>,1967,0,356,108,99.9,2,26,34,3,3,9999,2408,2,5,0,0,PCG,4,5,1,6,A,1,4,1,760000970,4.55,<Null>,B,3,0,N,0,0,6,7,7,Fair,9,N,3,24,11/2/2021,11/2/2023,35,1,356,28,400,1994,399,1595,3987,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008100C,1128,2024
848,Point,0008100D,  5/341,MERIDIAN RD OVER I-5,MERIDIAN RD,I-5,Washington State,Washington State,UNINCORPORATED,Thurston County,OL,47.066055,-122.741501,N,5,<Null>,<Null>,1968,0,280,89,99.9,2,26,30.6,1.5,1.5,9999,1700,2,5,0,0,PCG,4,1,1,6,A,1,4,1,760000650,0.32,<Null>,B,5,0,N,0,0,7,7,7,Good,9,N,3,24,11/2/2021,11/2/2023,35,1,280,34,475,2261,452,1809,4522,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008100D,1129,2024
849,Point,0008100H,  5/342W-S,MCALLISTER CR,I-5,MCALLISTER CR,Washington State,Washington State,UNINCORPORATED,Thurston County,OL,47.068806,-122.719582,N,5,<Null>,<Null>,1968,0,168,38,99.9,1,23,27,0.7,0.7,9999,0,1,2,0,0,CS,5,1,5,6,A,1,1,7,005S111370,0.02,<Null>,I,4,0,Y,0,0,7,7,5,Fair,9,8,0,24,4/14/2022,4/14/2024,35,1,168,26,475,1038,208,830,2075,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008100H,362,2024
850,Point,0008100I,  5/344S-E,S-E RAMP,I-5 S-E RAMP,I-5 MAINLINE,Washington State,Washington State,UNINCORPORATED,Thurston County,OL,47.068333,-122.7155,N,5,<Null>,<Null>,1968,0,369,108,99.9,1,23,27,0.7,0.7,9999,1700,5,2,0,0,CBox,4,1,1,6,A,1,1,7,005R111458,0.25,<Null>,I,1,0,Y,0,0,6,7,7,Fair,9,N,0,24,11/2/2021,11/2/2023,35,1,369,29,400,2140,428,1712,4280,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008100I,1130,2024
851,Point,0008100J,  5/344W,NISQUALLY OVERFLOW,I-5,NISQUALLY OVERFLOW,Washington State,Washington State,UNINCORPORATED,Thurston County,OL,47.069111,-122.711334,L,5,<Null>,<Null>,1968,0,200,100,99.9,4,52,55.4,0.8,0.8,9999,0,2,5,0,0,PCG,2,1,5,6,A,1,1,1,5,114.54,<Null>,D,1,1,Y,1,0,6,7,7,Fair,9,8,0,24,11/2/2021,11/2/2023,35,1,200,57,400,2280,456,1824,4560,2014,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008100J,1131,2024
852,Point,0008102A,410/32W,TRAFFIC AVE OVER SR 410,TRAFFIC AVE,"SR 410, RAMPS",Washington State,Washington State,SUMNER,Pierce County,OL,47.198334,-122.248917,R,5,<Null>,<Null>,1967,0,218,65,99.9,2,30,38.5,1.5,5,9999,1603,2,5,0,0,PCG,4,5,1,6,A,1,5,1,410LX00932,0.06,<Null>,I,0,1,Y,0,0,7,7,7,Good,9,N,3,24,4/12/2023,4/12/2025,35,1,218,48,475,2485,497,1988,4970,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008102A,1066,2024
853,Point,0008103C,599/15,MARGINAL WAY OVER SR 599,E MARGINAL WAY,SR 599,Washington State,Washington State,TUKWILA,King County,NW,47.497162,-122.287086,N,5,<Null>,<Null>,1967,0,240,73,99.9,2,30,38,3,3,9999,1606,2,6,0,0,PCG,4,5,1,6,A,1,5,1,420000780,0.04,<Null>,B,1,0,N,0,0,7,7,7,Good,9,N,2,24,11/15/2022,11/15/2024,35,1,240,44,475,2508,502,2006,5016,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008103C,1413,2024
854,Point,0008114A,167/121E,GREEN RIVER,SR 167,GREEN RIVER,Washington State,Washington State,KENT,King County,NW,47.369667,-122.244308,R,5,<Null>,<Null>,1967,1998,241,150,99.9,3,54,57.2,0,0,9999,0,2,5,5,2,PCG CBox,1,1,5,6,A,1,3,1,167,19.04,<Null>,I,1,1,Y,0,0,7,6,7,Fair,9,5,0,24,4/4/2023,4/4/2025,35,1,241,56,475,3206,641,2564,6411,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008114A,699,2024
855,Point,0008114B,167/121W,GREEN RIVER,SR 167,GREEN RIVER,Washington State,Washington State,KENT,King County,NW,47.369694,-122.244583,L,5,<Null>,<Null>,1967,1998,241,150,99.9,3,54,57.2,0,0,9999,0,2,5,5,2,PCG CBOX,1,1,5,6,A,1,3,1,167,19.04,<Null>,D,1,1,Y,0,0,6,6,7,Fair,9,5,1,24,4/4/2023,4/4/2025,35,1,241,56,475,3206,641,2564,6411,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008114B,700,2024
856,Point,0008114C,167/122E,SR 167 OVER SR 516,SR 167,SR 516,Washington State,Washington State,KENT,King County,NW,47.377777,-122.244446,R,5,<Null>,<Null>,1967,1997,190,94,99.9,3,54,57.2,0,0,9999,1606,2,5,0,0,PCG,2,1,1,6,A,1,3,1,167,19.6,<Null>,I,1,1,Y,0,0,7,6,7,Fair,9,N,0,24,2/28/2023,3/1/2025,35,1,190,56,475,2527,505,2022,5054,2022,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,10/16/2023 3:33,0008114C,701,2024
