county,year,population,source,rate
Ferry,1965,3800,Intercensal Estimate,-0.02564102564102566
Franklin,1965,24200,Intercensal Estimate,0.004149377593360981
Garfield,1965,2800,Intercensal Estimate,0.03703703703703698
Grant,1965,44500,Intercensal Estimate,0.013667425968109326
Grays Harbor,1965,56400,Intercensal Estimate,0.008944543828264706
Island,1965,22400,Intercensal Estimate,0.032258064516129004
Jefferson,1965,9800,Intercensal Estimate,-0.010101010101010055
King,1965,1024000,Intercensal Estimate,0.023795240951809626
Kitsap,1965,89800,Intercensal Estimate,0.0192962542565267
Kittitas,1965,22400,Intercensal Estimate,0.018181818181818077
Klickitat,1965,12900,Intercensal Estimate,0.0
Lewis,1965,42900,Intercensal Estimate,0.011792452830188704
Lincoln,1965,10100,Intercensal Estimate,-0.009803921568627416
Mason,1965,17800,Intercensal Estimate,0.02298850574712641
Okanogan,1965,25100,Intercensal Estimate,0.0040000000000000036
Pacific,1965,14700,Intercensal Estimate,0.0
Pend Oreille,1965,6100,Intercensal Estimate,-0.031746031746031744
Pierce,1965,358600,Intercensal Estimate,0.02691867124856806
San Juan,1965,3100,Intercensal Estimate,0.03333333333333344
Skagit,1965,50900,Intercensal Estimate,0.0019685039370078705
Skamania,1965,5500,Intercensal Estimate,0.0185185185185186
Snohomish,1965,212700,Intercensal Estimate,0.047783251231527046
Spokane,1965,277200,Intercensal Estimate,-0.0025188916876573986
Stevens,1965,17500,Intercensal Estimate,0.005747126436781658
Thurston,1965,64400,Intercensal Estimate,0.03870967741935494
Wahkiakum,1965,3400,Intercensal Estimate,0.030303030303030276
Walla Walla,1965,41400,Intercensal Estimate,-0.002409638554216831
Whatcom,1965,75100,Intercensal Estimate,0.01899592944369055
Whitman,1965,34000,Intercensal Estimate,0.017964071856287456
Yakima,1965,143400,Intercensal Estimate,0.0013966480446927498
Adams,1966,10600,Intercensal Estimate,0.019230769230769162
Asotin,1966,13100,Intercensal Estimate,0.015503875968992276
Benton,1966,63100,Intercensal Estimate,0.009600000000000053
Chelan,1966,39700,Intercensal Estimate,-0.002512562814070307
Clallam,1966,32500,Intercensal Estimate,0.018808777429467183
Clark,1966,111900,Intercensal Estimate,0.03133640552995387
Columbia,1966,4400,Intercensal Estimate,0.023255813953488413
Cowlitz,1966,63800,Intercensal Estimate,0.02079999999999993
Douglas,1966,15600,Intercensal Estimate,0.019607843137254832
Ferry,1966,3800,Intercensal Estimate,0.0
